county_fips,county_name,population,population_2022,population_2023,population_growth_rate,percent_age_65_plus,diabetes_prevalence,primary_care_physicians,pcp_per_10000,other_pcp_per_10000,median_household_income
12001,Alachua,285994,284030,285994,0.6914762525085378,15.775855438,10.9,434.0,15.542297000000001,35.315426,61843
12003,Baker,28368,27803,28368,2.0321548034384778,15.186125212,10.6,11.0,3.8307499999999997,12.690355,69399
12005,Bay,190769,185134,190769,3.0437412900925818,18.505627225,9.8,103.0,5.748793999999999,17.403247,70859
12007,Bradford,27858,27313,27858,1.9953868121407388,19.086079403,12.1,4.0,1.4015419999999998,8.974083,59468
12009,Brevard,643979,630693,643979,2.1065716600628197,24.889786779,9.6,446.0,7.232885999999999,13.602928,77961
12011,Broward,1962531,1947026,1962531,0.7963427298865039,18.48510928,12.0,1462.0,7.571273000000001,16.606107,74367
12013,Calhoun,13470,13464,13470,0.044563279857397504,19.480326652,11.9,4.0,2.932336,9.651076,47523
12015,Charlotte,206134,202661,206134,1.7136992317219397,40.553717485,9.7,121.0,6.210128,11.691424000000001,71381
12017,Citrus,166696,162529,166696,2.5638501436666687,36.4789797,9.7,73.0,4.617827,14.157507999999998,54447
12019,Clay,232439,226589,232439,2.581766987806116,17.426077379,9.9,119.0,5.3516580000000005,13.594964999999998,82249
12021,Collier,404310,397994,404310,1.5869585973657896,34.356310752,9.7,317.0,8.212861,13.924958999999998,91402
12023,Columbia,73063,71908,73063,1.6062190576848194,20.664358157,11.8,36.0,5.114726,16.56105,58949
12027,DeSoto,35979,35312,35979,1.8888763026733122,23.622112899,14.7,9.0,2.615671,11.951416,54288
12029,Dixie,17465,17124,17465,1.991357159542163,25.004294303,12.2,4.0,2.338908,4.58059,50966
12031,Duval,1030822,1016536,1030822,1.4053609513091518,15.712218016,11.9,810.0,8.100527000000001,24.087573000000003,69455
12033,Escambia,326928,324878,326928,0.6310061007516667,18.215937454,10.9,246.0,7.630510000000001,25.29609,70838
12035,Flagler,131439,126705,131439,3.736237717532852,31.581189753,9.7,64.0,5.29223,9.053629,74753
12037,Franklin,12594,12498,12594,0.7681228996639462,28.132444021,10.9,4.0,3.181674,7.940289,55816
12039,Gadsden,43833,43403,43833,0.990714927539571,20.304336915,13.8,10.0,2.287597,5.247188,51288
12041,Gilchrist,19587,18992,19587,3.1328980623420386,21.013937816,10.3,8.0,4.357298,9.700311000000001,56884
12043,Glades,12786,12454,12786,2.6658101814678017,26.310026592,13.9,,,5.474738,55240
12045,Gulf,15693,15314,15693,2.4748596055896566,23.207799656,10.6,7.0,4.873634,14.656216,66806
12047,Hamilton,13471,13217,13471,1.9217674207460087,20.666617178,13.6,1.0,0.7146429999999999,2.969342,49260
12049,Hardee,25760,25645,25760,0.4484304932735426,16.73136646,14.4,4.0,1.573255,7.375776,53913
12051,Hendry,43333,41339,43333,4.823532257674351,13.587796829,15.1,11.0,2.728648,6.461588000000001,54619
12053,Hernando,212807,206896,212807,2.856990951975872,26.201675697,11.0,112.0,5.582193,11.089861,64092
12055,Highlands,107614,105618,107614,1.889829385142684,36.220194398,11.8,60.0,5.80855,11.336815,51495
12057,Hillsborough,1535564,1513301,1535564,1.471154780179224,15.367448052,11.2,1235.0,8.35479,22.161237999999997,76528
12059,Holmes,19944,19651,19944,1.4910182687903923,20.532490975,11.4,7.0,3.538213,6.016847,51582
12061,Indian River,169795,167352,169795,1.4597973134471054,35.561706764,10.0,103.0,6.293457999999999,17.256103,73686
12063,Jackson,48622,48211,48622,0.8525025409138994,21.095388919,13.1,15.0,3.1450500000000003,16.659125,50923
12065,Jefferson,15450,15042,15450,2.7124052652572797,25.15210356,11.7,4.0,2.7481959999999996,1.941748,59967
12067,Lafayette,8078,7786,8078,3.750321089134344,18.816538747,12.8,1.0,1.193033,6.189651,58096
12069,Lake,424462,410139,424462,3.4922306827685246,26.714523326,11.3,232.0,5.861487,12.345039,70784
12071,Lee,834573,822453,834573,1.4736404390281268,29.048267797,10.1,524.0,6.649948999999999,15.229345,71811
12073,Leon,296913,297369,296913,-0.15334483419589803,15.282591197,10.7,259.0,8.845115,20.17426,66063
12075,Levy,46545,45260,46545,2.8391515687140965,25.53013213,10.3,5.0,1.132298,8.378988,53214
12077,Liberty,7706,7603,7706,1.3547283966855188,17.687516221,12.4,,,9.083831,51523
12079,Madison,18519,18198,18519,1.763930102209034,22.944003456,14.0,2.0,1.093613,9.719747000000002,52713
12081,Manatee,441095,429125,441095,2.7893970288377514,28.979244834,10.4,256.0,6.203008,12.310273,79213
12083,Marion,409959,396415,409959,3.4166214699241957,28.784829702,11.3,224.0,5.804387,13.806259,58584
12085,Martin,163315,162006,163315,0.8079947656259644,32.732449561,9.1,111.0,6.940016,19.410342,76430
12086,Miami-Dade,2686867,2673837,2686867,0.4873146717619661,17.403727092,13.3,2205.0,8.280829,23.302232999999998,72030
12087,Monroe,80614,81708,80614,-1.3389141822098205,25.352916367,9.5,54.0,6.571742,10.420026,85639
12089,Nassau,101501,97899,101501,3.6793021379176496,24.294341928,8.9,36.0,3.8221019999999997,9.852120000000001,92766
12091,Okaloosa,218464,216482,218464,0.9155495607025065,16.956569503,9.8,149.0,6.986941,16.112495000000003,81990
12093,Okeechobee,41427,40412,41427,2.5116302088488567,20.938035581,12.6,17.0,4.221924,11.345258,54297
12095,Orange,1471416,1452726,1471416,1.286546809240008,13.487416203,11.5,1317.0,9.256747,19.715702,78487
12097,Osceola,437784,422545,437784,3.6064797832183553,13.536355828,12.8,166.0,4.116225999999999,10.713045999999999,76416
12099,Palm Beach,1533801,1518477,1533801,1.0091690555734463,25.407468114,10.1,1204.0,8.037453000000001,16.957871,84789
12101,Pasco,632996,608794,632996,3.975400545997497,21.820043097,9.9,300.0,5.1363970000000005,11.816820000000002,72065
12103,Pinellas,961596,961739,961596,-0.014868898942436566,27.02507082,9.4,874.0,9.136382000000001,18.646084,70684
12105,Polk,818330,787404,818330,3.9275899030230987,19.402319358,12.8,347.0,4.605054000000001,9.788227000000001,66709
12107,Putnam,75955,74731,75955,1.637874509908873,24.045816602,12.7,28.0,3.775264,7.636099999999999,51585
12109,St. Johns,320110,306841,320110,4.324389504662024,21.368904439,7.6,278.0,9.505378,9.059386,106281
12111,St. Lucie,373586,358704,373586,4.148824657656451,24.757619397,11.5,116.0,3.3762250000000003,11.670673,66876
12113,Santa Rosa,203162,198268,203162,2.468376137349446,17.035666119,9.4,112.0,5.773255000000001,9.499808,87581
12115,Sarasota,469013,462286,469013,1.455159792855505,37.774432692,8.2,353.0,7.896084999999999,16.332169999999998,78218
12117,Seminole,484271,478772,484271,1.148563408052267,17.015266246,10.0,373.0,7.934599999999999,12.410407,80698
12119,Sumter,151565,144970,151565,4.549217079395737,57.14841817,9.4,59.0,4.349813,9.170983,79334
12121,Suwannee,46130,45411,46130,1.5833168175111756,22.371558639,11.3,6.0,1.348769,8.454368,56009
12123,Taylor,21582,21283,21582,1.404877131983273,22.148086368,12.1,10.0,4.584002,15.753869,50556
12125,Union,15532,15460,15532,0.4657179818887452,16.2760752,12.4,5.0,3.060912,7.725985,60843
12127,Volusia,590357,579192,590357,1.9276854652688573,25.694452679,9.8,381.0,6.750388000000001,12.788872000000001,66111
12129,Wakulla,36449,35178,36449,3.613053613053613,17.287168372,10.3,11.0,3.1709430000000003,5.212763,72916
12131,Walton,86354,83304,86354,3.661288773648324,20.528290525,9.4,36.0,4.496122000000001,10.190611,82259
12133,Washington,25602,25414,25602,0.7397497442354608,18.982891962,11.7,8.0,3.145149,10.546051,54678
