county_fips,county_name,population,population_2022,population_2023,population_growth_rate,percent_age_65_plus,diabetes_prevalence,primary_care_physicians,pcp_per_10000,other_pcp_per_10000,median_household_income,growth_score,age65_score,diabetes_score,pcp_shortage_score,other_pcp_shortage_score,income_score,eligible_market,score_balanced,rank_balanced,score_healthcare_need_focus,rank_healthcare_need_focus,score_growth_focus,rank_growth_focus,top10_scenarios,stable_top10
12119,Sumter,151565,144970,151565,4.549217079395737,57.14841817,9.4,59.0,4.349813,9.170983,79334,98.50746268656717,100.0,9.701492537313433,60.0,70.1492537313433,85.07462686567165,True,71.44029850746269,1.0,62.05223880597015,4.0,79.22388059701493,1.0,3,True
12111,St. Lucie,373586,358704,373586,4.148824657656451,24.757619397,11.5,116.0,3.3762250000000003,11.670673,66876,95.52238805970148,64.17910447761194,60.447761194029844,70.76923076923077,49.25373134328358,52.23880597014925,True,67.17623421354764,2.0,65.1923076923077,2.0,72.48105625717565,2.0,3,True
12035,Flagler,131439,126705,131439,3.736237717532852,31.581189753,9.7,64.0,5.29223,9.053629,74753,89.55223880597015,88.05970149253731,18.65671641791045,46.15384615384615,74.6268656716418,73.13432835820896,True,65.31285878300804,3.0,57.620551090700346,7.0,71.77382319173364,3.0,3,True
12089,Nassau,101501,97899,101501,3.6793021379176496,24.294341928,8.9,36.0,3.822102,9.85212,92766,88.05970149253731,62.68656716417911,4.477611940298507,66.15384615384616,61.19402985074627,98.50746268656717,True,64.87256027554535,4.0,53.10562571756602,12.0,71.4902411021814,4.0,2,False
12105,Polk,818330,787404,818330,3.9275899030230983,19.402319358,12.8,347.0,4.605054000000001,9.788227,66709,92.53731343283582,35.82089552238806,85.07462686567165,53.84615384615385,62.6865671641791,49.25373134328358,True,64.2020665901263,5.0,63.01377726750861,3.0,68.00229621125143,5.0,3,True
12097,Osceola,437784,422545,437784,3.6064797832183553,13.536355828,12.8,166.0,4.116225999999999,10.713046,76416,83.5820895522388,2.9850746268656714,85.07462686567165,63.07692307692307,55.223880597014926,74.6268656716418,True,62.01836969001148,6.0,58.008036739380024,6.0,64.38691159586682,8.0,3,True
12081,Manatee,441095,429125,441095,2.7893970288377514,28.979244834,10.4,256.0,6.203008,12.310273,79213,73.13432835820896,85.07462686567165,40.298507462686565,33.846153846153854,43.28358208955224,83.5820895522388,True,59.23191733639496,7.0,53.536165327210114,11.0,64.33065442020666,10.0,2,False
12107,Putnam,75955,74731,75955,1.637874509908873,24.045816602,12.7,28.0,3.775264,7.636099999999999,51585,46.26865671641791,61.19402985074627,82.08955223880598,67.6923076923077,83.58208955223881,14.925373134328357,True,59.06084959816303,8.0,67.5947187141217,1.0,54.33295063145809,14.0,2,False
12131,Walton,86354,83304,86354,3.661288773648324,20.528290525,9.4,36.0,4.496122000000001,10.190611,82259,86.56716417910447,40.298507462686565,9.701492537313433,56.92307692307692,59.701492537313435,91.04477611940298,True,58.80998851894374,9.0,46.880022962112506,17.0,65.47876004592422,6.0,2,False
12069,Lake,424462,410139,424462,3.492230682768525,26.714523326,11.3,232.0,5.861487,12.345039,70784,82.08955223880598,79.1044776119403,55.223880597014926,35.38461538461539,41.7910447761194,58.2089552238806,True,58.64408725602756,10.0,55.86107921928817,9.0,64.33754305396097,9.0,3,True
12053,Hernando,212807,206896,212807,2.856990951975872,26.201675697,11.0,112.0,5.582193,11.089861,64092,76.11940298507463,76.11940298507463,50.74626865671642,43.07692307692308,53.73134328358209,44.776119402985074,True,57.64523536165328,11.0,56.59012629161882,8.0,61.685419058553386,12.0,1,False
12101,Pasco,632996,608794,632996,3.975400545997497,21.820043097,9.9,300.0,5.1363970000000005,11.816820000000002,72065,94.02985074626866,52.23880597014925,27.611940298507463,47.692307692307686,46.26865671641791,67.16417910447761,True,57.336969001148105,12.0,48.975315729047075,14.0,65.36280137772675,7.0,1,False
12083,Marion,409959,396415,409959,3.416621469924196,28.784829702,11.3,224.0,5.804387,13.806259,58584,80.59701492537313,83.5820895522388,55.223880597014926,38.46153846153846,32.83582089552239,35.82089552238806,True,54.93111366245695,13.0,54.913892078071186,10.0,60.69460390355911,13.0,1,False
12109,St. Johns,320110,306841,320110,4.324389504662024,21.368904439,7.6,278.0,9.505378,9.059386,106281,97.01492537313433,50.74626865671642,1.4925373134328357,1.538461538461533,73.13432835820896,100.0,True,53.51664753157291,14.0,36.578645235361655,27.0,64.26061997703789,11.0,0,False
12055,Highlands,107614,105618,107614,1.889829385142684,36.220194398,11.8,60.0,5.80855,11.336815,51495,52.23880597014925,94.02985074626866,66.4179104477612,36.92307692307693,52.23880597014926,10.44776119402985,True,51.30252583237659,15.0,58.223306544202075,5.0,51.359357060849604,19.0,1,False
12015,Charlotte,206134,202661,206134,1.7136992317219395,40.553717485,9.7,121.0,6.210128,11.691424,71381,47.76119402985074,98.50746268656717,18.65671641791045,32.30769230769231,47.76119402985075,62.68656716417911,True,50.15556831228473,16.0,47.51722158438576,15.0,52.38346727898967,18.0,0,False
12113,Santa Rosa,203162,198268,203162,2.468376137349446,17.035666119,9.4,112.0,5.773255000000001,9.499808,87581,62.68656716417911,19.402985074626866,9.701492537313433,40.0,68.65671641791045,95.52238805970148,True,49.52985074626866,17.0,37.649253731343286,24.0,53.014925373134325,17.0,0,False
12019,Clay,232439,226589,232439,2.581766987806116,17.426077379,9.9,119.0,5.3516580000000005,13.594964999999998,82249,68.65671641791045,23.88059701492537,27.611940298507463,44.61538461538461,35.82089552238806,89.55223880597015,True,49.18427095292767,18.0,39.54936854190586,21.0,54.08036739380022,16.0,0,False
12017,Citrus,166696,162529,166696,2.5638501436666687,36.4789797,9.7,73.0,4.617827,14.157507999999998,54447,67.16417910447761,95.52238805970148,18.65671641791045,52.30769230769231,29.850746268656707,23.88059701492537,True,49.08094144661309,19.0,49.233639494833525,13.0,54.114810562571755,15.0,0,False
12021,Collier,404310,397994,404310,1.5869585973657896,34.356310752,9.7,317.0,8.212861,13.924958999999998,91402,43.28358208955223,91.04477611940298,18.65671641791045,10.76923076923076,31.343283582089555,97.01492537313433,True,46.5195177956372,20.0,39.44603903559127,22.0,49.97359357060849,22.0,0,False
12009,Brevard,643979,630693,643979,2.10657166006282,24.889786779,9.6,446.0,7.232885999999999,13.602928,77961,61.19402985074627,65.67164179104478,14.925373134328357,21.538461538461533,34.32835820895522,79.1044776119403,True,45.65097588978186,21.0,37.47416762342136,25.0,51.290470723306534,20.0,0,False
12071,Lee,834573,822453,834573,1.4736404390281268,29.048267797,10.1,524.0,6.649948999999999,15.229345,71811,38.80597014925373,86.56716417910447,33.582089552238806,27.692307692307693,26.86567164179104,64.17910447761194,True,44.97876004592422,22.0,43.75143513203216,18.0,46.392652123995404,24.0,0,False
12061,Indian River,169795,167352,169795,1.4597973134471054,35.561706764,10.0,103.0,6.293457999999999,17.256103,73686,35.82089552238806,92.53731343283582,30.597014925373134,30.769230769230774,14.925373134328353,70.1492537313433,True,44.54936854190585,23.0,43.17738231917336,19.0,46.10792192881745,25.0,0,False
12023,Columbia,73063,71908,73063,1.6062190576848194,20.664358157,11.8,36.0,5.114726,16.56105,58949,44.776119402985074,43.28358208955223,66.4179104477612,49.23076923076923,20.895522388059703,37.3134328358209,True,43.98794489092997,24.0,47.046498277841565,16.0,43.87715269804822,26.0,0,False
12127,Volusia,590357,579192,590357,1.927685465268857,25.694452679,9.8,381.0,6.750388000000001,12.788872,66111,55.223880597014926,74.6268656716418,23.88059701492537,26.153846153846146,37.31343283582089,47.76119402985074,True,43.81285878300803,25.0,40.9414466130884,20.0,47.72904707233065,23.0,0,False
12005,Bay,190769,185134,190769,3.0437412900925818,18.505627225,9.8,103.0,5.748793999999999,17.403247,70859,77.61194029850746,29.850746268656714,23.88059701492537,41.53846153846153,13.432835820895534,61.19402985074627,True,43.08381171067738,26.0,35.16073478760046,30.0,50.78300803673939,21.0,0,False
